structure_name,file,hbonds,salt_bridges,buried_area,min_distance,hydrophobic_interactions
1O9U_min_DMI,1O9U_min_DMI.pdb,1,2,1313.974,5.639,126
1PD7_min_DMI,1PD7_min_DMI.pdb,0,0,1361.894,5.121,120
1PJM_min_DMI,1PJM_min_DMI.pdb,15,3,2269.596,4.833,40
1S70_min_DMI,1S70_min_DMI.pdb,1,3,859.123,5.318,58
1SXJ_min_DMI,1SXJ_min_DMI.pdb,4,2,1501.714,4.413,121
1SYQ_min_DMI,1SYQ_min_DMI.pdb,1,0,1991.302,4.864,207
1UTC_min_DMI,1UTC_min_DMI.pdb,7,3,909.018,6.008,81
1YCR_min_DMI,1YCR_min_DMI.pdb,1,0,947.43,4.944,104
1YY6_min_DMI,1YY6_min_DMI.pdb,7,0,768.973,4.274,59
1ZUB_min_DMI,1ZUB_min_DMI.pdb,5,0,882.695,4.004,103
2A25_min_DMI,2A25_min_DMI.pdb,6,0,1156.546,4.389,119
2A41_min_DMI,2A41_min_DMI.pdb,3,0,1697.635,4.395,40
2ASQ_min_DMI,2ASQ_min_DMI.pdb,5,3,910.146,4.174,55
2B9J_min_DMI,2B9J_min_DMI.pdb,3,2,1086.008,4.817,16
2BZ8_min_DMI,2BZ8_min_DMI.pdb,4,5,750.938,5.51,54
2C0L_min_DMI,2C0L_min_DMI.pdb,8,0,877.907,4.453,25
2CE8_min_DMI,2CE8_min_DMI.pdb,3,0,1020.071,5.57,59
2D1K_min_DMI,2D1K_min_DMI.pdb,1,0,1424.108,4.192,48
2FLU_min_DMI,2FLU_min_DMI.pdb,9,6,845.393,5.404,6
2G30_min_DMI,2G30_min_DMI.pdb,5,10,1111.36,6.013,66
2GBQ_min_DMI,2GBQ_min_DMI.pdb,0,0,619.224,6.018,35
2GPH_min_DMI,2GPH_min_DMI.pdb,12,9,1235.178,6.0,16
2I3S_min_DMI,2I3S_min_DMI.pdb,9,6,1276.994,6.312,66
2IX7_min_DMI,2IX7_min_DMI.pdb,8,11,2548.104,4.108,99
2JK9_min_DMI,2JK9_min_DMI.pdb,9,0,684.06,4.177,8
2JKR_min_DMI,2JKR_min_DMI.pdb,2,0,978.498,4.839,31
2JQ9_min_DMI,2JQ9_min_DMI.pdb,0,2,880.706,5.701,68
2K42_min_DMI,2K42_min_DMI.pdb,4,3,1080.106,4.499,123
2KQS_min_DMI,2KQS_min_DMI.pdb,5,1,1068.496,4.791,57
2KXH_min_DMI,2KXH_min_DMI.pdb,2,3,868.731,3.771,78
2L8J_min_DMI,2L8J_min_DMI.pdb,4,0,1083.15,4.33,27
2LSI_min_DMI,2LSI_min_DMI.pdb,7,6,1088.193,4.232,99
2MOW_min_DMI,2MOW_min_DMI.pdb,3,2,932.196,4.743,18
2O8G_min_DMI,2O8G_min_DMI.pdb,6,1,978.074,4.883,41
2ODD_min_DMI,2ODD_min_DMI.pdb,4,0,795.003,4.751,38
2ORZ_min_DMI,2ORZ_min_DMI.pdb,6,4,543.154,6.746,0
2P1Q_min_DMI,2P1Q_min_DMI.pdb,6,3,1348.005,4.615,113
2PZO_min_DMI,2PZO_min_DMI.pdb,3,0,597.194,5.119,71
2R02_min_DMI,2R02_min_DMI.pdb,1,0,1103.809,5.676,64
2R03_min_DMI,2R03_min_DMI.pdb,1,0,825.18,6.042,42
2ROC_min_DMI,2ROC_min_DMI.pdb,4,6,1615.76,4.494,95
2RR3_min_DMI,2RR3_min_DMI.pdb,4,1,1067.014,4.176,55
2V3S_min_DMI,2V3S_min_DMI.pdb,8,8,785.397,4.79,62
2V52_min_DMI,2V52_min_DMI.pdb,3,0,1543.046,5.558,30
2V8C_min_DMI,2V8C_min_DMI.pdb,4,0,570.873,6.282,80
2W84_min_DMI,2W84_min_DMI.pdb,0,0,686.268,6.452,104
2X04_min_DMI,2X04_min_DMI.pdb,4,1,1127.133,4.418,102
2XS0_min_DMI,2XS0_min_DMI.pdb,8,3,1147.003,4.526,34
2XS1_min_DMI,2XS1_min_DMI.pdb,0,0,1049.34,4.867,57
2Y48_min_DMI,2Y48_min_DMI.pdb,8,10,1717.332,4.618,60
2YKT_min_DMI,2YKT_min_DMI.pdb,3,0,638.886,5.492,9
2ZNE_min_DMI,2ZNE_min_DMI.pdb,1,0,1146.955,4.217,54
2ZVL_min_DMI,2ZVL_min_DMI.pdb,1,0,1038.417,4.343,91
3AA1_min_DMI,3AA1_min_DMI.pdb,11,15,2468.573,4.395,34
3BQO_min_DMI,3BQO_min_DMI.pdb,6,0,933.675,4.456,68
3EU7_min_DMI,3EU7_min_DMI.pdb,0,0,1061.123,3.931,102
3GB8_min_DMI,3GB8_min_DMI.pdb,3,2,1644.231,5.21,122
3GM1_min_DMI,3GM1_min_DMI.pdb,0,1,924.992,6.088,49
3HQM_min_DMI,3HQM_min_DMI.pdb,7,0,742.291,4.445,27
3MQS_min_DMI,3MQS_min_DMI.pdb,4,0,582.448,4.45,31
3N5U_min_DMI,3N5U_min_DMI.pdb,4,0,965.54,4.657,55
3OGL_min_DMI,3OGL_min_DMI.pdb,3,5,2091.992,4.69,35
3QIS_min_DMI,3QIS_min_DMI.pdb,2,1,1244.909,5.642,90
3RDV_min_DMI,3RDV_min_DMI.pdb,5,0,719.803,4.846,22
3SOQ_min_DMI,3SOQ_min_DMI.pdb,8,2,895.132,7.221,28
3TEI_min_DMI,3TEI_min_DMI.pdb,8,8,1551.821,4.815,14
3TWU_min_DMI,3TWU_min_DMI.pdb,9,4,1122.188,3.735,29
3UVK_min_DMI,3UVK_min_DMI.pdb,6,1,1083.407,4.3,11
3UXG_min_DMI,3UXG_min_DMI.pdb,1,0,1191.83,5.598,89
3VVW_min_DMI,3VVW_min_DMI.pdb,6,2,882.824,4.593,68
3WN7_min_DMI,3WN7_min_DMI.pdb,9,6,1055.964,5.397,19
3WP0_min_DMI,3WP0_min_DMI.pdb,5,4,699.904,4.893,11
3ZFW_min_DMI,3ZFW_min_DMI.pdb,5,4,1314.732,5.147,74
4BH6_min_DMI,4BH6_min_DMI.pdb,3,0,865.969,4.563,25
4BXU_min_DMI,4BXU_min_DMI.pdb,1,1,693.07,5.894,101
4CQO_min_DMI,4CQO_min_DMI.pdb,0,0,855.753,5.279,50
4CY2_min_DMI,4CY2_min_DMI.pdb,4,0,634.781,5.661,32
4CY3_min_DMI,4CY3_min_DMI.pdb,7,2,1136.192,4.691,14
4EOY_min_DMI,4EOY_min_DMI.pdb,2,0,892.843,4.56,102
4F0Z_min_DMI,4F0Z_min_DMI.pdb,0,0,1013.913,4.648,58
4FMO_min_DMI,4FMO_min_DMI.pdb,2,3,682.893,5.867,30
4GGD_min_DMI,4GGD_min_DMI.pdb,0,0,579.778,6.21,0
4H3B_min_DMI,4H3B_min_DMI.pdb,7,4,1042.227,4.163,26
4H3Q_min_DMI,4H3Q_min_DMI.pdb,4,2,1008.588,5.171,8
4J2X_min_DMI,4J2X_min_DMI.pdb,2,0,754.734,4.771,105
4KMD_min_DMI,4KMD_min_DMI.pdb,15,0,1378.155,4.367,50
4NEE_min_DMI,4NEE_min_DMI.pdb,2,2,922.162,4.868,27
4YOC_min_DMI,4YOC_min_DMI.pdb,4,4,832.151,4.646,8
4ZI2_min_DMI,4ZI2_min_DMI.pdb,0,4,1247.161,5.218,41
5AZG_min_DMI,5AZG_min_DMI.pdb,4,0,948.745,4.624,82
5EOD_min_DMI,5EOD_min_DMI.pdb,2,1,818.935,5.288,45
5ETA_min_DMI,5ETA_min_DMI.pdb,11,10,1571.664,4.574,36
5F74_min_DMI,5F74_min_DMI.pdb,9,7,1510.531,6.486,25
5FJX_min_DMI,5FJX_min_DMI.pdb,5,0,823.818,6.479,70
5HKH_min_DMI,5HKH_min_DMI.pdb,3,1,885.802,4.635,107
5IGO_min_DMI,5IGO_min_DMI.pdb,6,2,1255.345,4.392,49
5MLW_min_DMI,5MLW_min_DMI.pdb,2,0,960.87,4.282,114
5VZU_min_DMI,5VZU_min_DMI.pdb,4,0,868.375,4.959,33
6FUZ_min_DMI,6FUZ_min_DMI.pdb,10,3,1081.201,5.532,2
6G84_min_DMI,6G84_min_DMI.pdb,4,0,1146.941,5.521,35
7DS2_min_DMI,7DS2_min_DMI.pdb,8,6,1506.106,5.075,51
