set	PDB_id	DDI_pfam_id	path	chainA_id	chainB_id	min_distance	buried_area	salt_bridges	hbonds	disulfide_bonds	hydrophobic_interactions
DMI	1S70		DMI_hydrogens\1S70_min_DMI.pdb	A	B	5.318	859.123	2	1	0	58
DMI	1SXJ		DMI_hydrogens\1SXJ_min_DMI.pdb	A	B	4.413	1501.714	1	4	0	121
DMI	1SYQ		DMI_hydrogens\1SYQ_min_DMI.pdb	A	B	4.864	1991.302	0	1	0	207
DMI	1UTC		DMI_hydrogens\1UTC_min_DMI.pdb	A	B	6.008	909.018	1	7	0	81
DMI	1YCR		DMI_hydrogens\1YCR_min_DMI.pdb	A	B	4.944	947.43	0	1	0	104
DMI	1YY6		DMI_hydrogens\1YY6_min_DMI.pdb	A	B	4.274	768.973	0	7	0	59
DMI	1ZUB		DMI_hydrogens\1ZUB_min_DMI.pdb	A	B	4.004	882.695	0	5	0	103
DMI	2A25		DMI_hydrogens\2A25_min_DMI.pdb	A	B	4.389	1156.546	0	6	0	119
DMI	2A41		DMI_hydrogens\2A41_min_DMI.pdb	A	B	4.395	1697.635	0	3	0	40
DMI	2ASQ		DMI_hydrogens\2ASQ_min_DMI.pdb	A	B	4.174	910.146	2	5	0	55
DMI	2B9J		DMI_hydrogens\2B9J_min_DMI.pdb	A	B	4.817	1086.008	2	3	0	16
DMI	2BZ8		DMI_hydrogens\2BZ8_min_DMI.pdb	A	B	5.51	750.938	2	4	0	54
DMI	2C0L		DMI_hydrogens\2C0L_min_DMI.pdb	A	B	4.453	877.907	0	8	0	25
DMI	2CE8		DMI_hydrogens\2CE8_min_DMI.pdb	A	B	5.57	1020.071	0	3	0	59
DMI	2D1K		DMI_hydrogens\2D1K_min_DMI.pdb	A	B	4.192	1424.108	0	1	0	48
DMI	2FLU		DMI_hydrogens\2FLU_min_DMI.pdb	A	B	5.404	845.393	3	9	0	6
DMI	2G30		DMI_hydrogens\2G30_min_DMI.pdb	A	B	6.013	1111.36	3	5	0	66
DMI	2GBQ		DMI_hydrogens\2GBQ_min_DMI.pdb	A	B	6.018	619.224	0	0	0	35
DMI	2GPH		DMI_hydrogens\2GPH_min_DMI.pdb	A	B	6.0	1235.178	3	12	0	16
DMI	2I3S		DMI_hydrogens\2I3S_min_DMI.pdb	A	B	6.312	1276.994	2	9	0	66
DMI	2IX7		DMI_hydrogens\2IX7_min_DMI.pdb	A	B	4.108	2548.104	6	8	0	99
DMI	2JK9		DMI_hydrogens\2JK9_min_DMI.pdb	A	B	4.177	684.06	0	9	0	8
DMI	2JKR		DMI_hydrogens\2JKR_min_DMI.pdb	A	B	4.839	978.498	0	2	0	31
DMI	2JQ9		DMI_hydrogens\2JQ9_min_DMI.pdb	A	B	5.701	880.706	2	0	0	68
DMI	2K42		DMI_hydrogens\2K42_min_DMI.pdb	A	B	4.499	1080.106	1	4	0	123
DMI	2KQS		DMI_hydrogens\2KQS_min_DMI.pdb	A	B	4.791	1068.496	1	5	0	57
DMI	2KXH		DMI_hydrogens\2KXH_min_DMI.pdb	A	B	3.771	868.731	1	2	0	78
DMI	2L8J		DMI_hydrogens\2L8J_min_DMI.pdb	A	B	4.33	1083.15	0	4	0	27
DMI	2LSI		DMI_hydrogens\2LSI_min_DMI.pdb	A	B	4.232	1088.193	2	7	0	99
DMI	2MOW		DMI_hydrogens\2MOW_min_DMI.pdb	A	B	4.743	932.196	2	3	0	18
DMI	2O8G		DMI_hydrogens\2O8G_min_DMI.pdb	A	B	4.883	978.074	1	6	0	41
DMI	2ODD		DMI_hydrogens\2ODD_min_DMI.pdb	A	B	4.751	795.003	0	4	0	38
DMI	2ORZ		DMI_hydrogens\2ORZ_min_DMI.pdb	A	B	6.746	543.154	1	6	0	0
DMI	2P1Q		DMI_hydrogens\2P1Q_min_DMI.pdb	A	B	4.615	1348.005	1	6	0	113
DMI	2PZO		DMI_hydrogens\2PZO_min_DMI.pdb	A	B	5.119	597.194	0	3	0	71
DMI	2R02		DMI_hydrogens\2R02_min_DMI.pdb	A	B	5.676	1103.809	0	1	0	64
DMI	2R03		DMI_hydrogens\2R03_min_DMI.pdb	A	B	6.042	825.18	0	1	0	42
DMI	2ROC		DMI_hydrogens\2ROC_min_DMI.pdb	A	B	4.494	1615.76	2	4	0	95
DMI	2RR3		DMI_hydrogens\2RR3_min_DMI.pdb	A	B	4.176	1067.014	1	4	0	55
DMI	2V3S		DMI_hydrogens\2V3S_min_DMI.pdb	A	B	4.79	785.397	2	8	0	62
DMI	2V51		DMI_hydrogens\2V51_min_DMI.pdb	A	B	4.974	1480.452	1	1	0	25
DMI	2V52		DMI_hydrogens\2V52_min_DMI.pdb	A	B	5.558	1543.046	0	3	0	30
DMI	2V8C		DMI_hydrogens\2V8C_min_DMI.pdb	A	B	6.282	570.873	0	4	0	80
DMI	2W84		DMI_hydrogens\2W84_min_DMI.pdb	A	B	6.452	686.268	0	0	0	104
DMI	2X04		DMI_hydrogens\2X04_min_DMI.pdb	A	B	4.418	1127.133	1	4	0	102
DMI	2XS0		DMI_hydrogens\2XS0_min_DMI.pdb	A	B	4.526	1147.003	1	8	0	34
DMI	2XS1		DMI_hydrogens\2XS1_min_DMI.pdb	A	B	4.867	1049.34	0	0	0	57
DMI	2Y48		DMI_hydrogens\2Y48_min_DMI.pdb	A	B	4.618	1717.332	5	8	0	60
DMI	2YKT		DMI_hydrogens\2YKT_min_DMI.pdb	A	B	5.492	638.886	0	3	0	9
DMI	2ZNE		DMI_hydrogens\2ZNE_min_DMI.pdb	A	B	4.217	1146.955	0	1	0	54
DMI	2ZVL		DMI_hydrogens\2ZVL_min_DMI.pdb	A	B	4.343	1038.417	1	1	0	91
DMI	3AA0		DMI_hydrogens\3AA0_min_DMI.pdb	A	B	4.514	2522.22	5	15	0	23
DMI	3AA1		DMI_hydrogens\3AA1_min_DMI.pdb	A	B	4.395	2468.573	6	11	0	34
DMI	3BQO		DMI_hydrogens\3BQO_min_DMI.pdb	A	B	4.456	933.675	0	6	0	68
DMI	3EU7		DMI_hydrogens\3EU7_min_DMI.pdb	A	B	3.931	1061.123	0	0	0	102
DMI	3GB8		DMI_hydrogens\3GB8_min_DMI.pdb	A	B	5.21	1644.231	2	3	0	122
DMI	3GM1		DMI_hydrogens\3GM1_min_DMI.pdb	A	B	6.088	924.992	1	0	0	49
DMI	3HQM		DMI_hydrogens\3HQM_min_DMI.pdb	A	B	4.445	742.291	0	7	0	27
DMI	3MQS		DMI_hydrogens\3MQS_min_DMI.pdb	A	B	4.45	582.448	0	4	0	31
DMI	3N5U		DMI_hydrogens\3N5U_min_DMI.pdb	A	B	4.657	965.54	0	4	0	55
DMI	3OGL		DMI_hydrogens\3OGL_min_DMI.pdb	A	B	4.69	2091.992	4	3	0	35
DMI	3QIS		DMI_hydrogens\3QIS_min_DMI.pdb	A	B	5.642	1244.909	1	2	0	90
DMI	3RDV		DMI_hydrogens\3RDV_min_DMI.pdb	A	B	4.846	719.803	0	5	0	22
DMI	3SOQ		DMI_hydrogens\3SOQ_min_DMI.pdb	A	B	7.221	895.132	1	8	0	28
DMI	3TEI		DMI_hydrogens\3TEI_min_DMI.pdb	A	B	4.815	1551.821	3	8	0	14
DMI	3TWU		DMI_hydrogens\3TWU_min_DMI.pdb	A	B	3.735	1122.188	2	9	0	29
DMI	3UVK		DMI_hydrogens\3UVK_min_DMI.pdb	A	B	4.3	1083.407	1	6	0	11
DMI	3UXG		DMI_hydrogens\3UXG_min_DMI.pdb	A	B	5.598	1191.83	0	1	0	89
DMI	3VVW		DMI_hydrogens\3VVW_min_DMI.pdb	A	B	4.593	882.824	1	6	0	68
DMI	3WN7		DMI_hydrogens\3WN7_min_DMI.pdb	A	B	5.397	1055.964	2	9	0	19
DMI	3WP0		DMI_hydrogens\3WP0_min_DMI.pdb	A	B	4.893	699.904	2	5	0	11
DMI	3ZFW		DMI_hydrogens\3ZFW_min_DMI.pdb	A	B	5.147	1314.732	3	5	0	74
DMI	4BH6		DMI_hydrogens\4BH6_min_DMI.pdb	A	B	4.563	865.969	0	3	0	25
DMI	4BXU		DMI_hydrogens\4BXU_min_DMI.pdb	A	B	5.894	693.07	1	1	0	101
DMI	4CQO		DMI_hydrogens\4CQO_min_DMI.pdb	A	B	5.279	855.753	0	0	0	50
DMI	4CY2		DMI_hydrogens\4CY2_min_DMI.pdb	A	B	5.661	634.781	0	4	0	32
DMI	4CY3		DMI_hydrogens\4CY3_min_DMI.pdb	A	B	4.691	1136.192	2	7	0	14
DMI	4EOY		DMI_hydrogens\4EOY_min_DMI.pdb	A	B	4.56	892.843	0	2	0	102
DMI	4F0Z		DMI_hydrogens\4F0Z_min_DMI.pdb	A	B	4.648	1013.913	0	0	0	58
DMI	4FMO		DMI_hydrogens\4FMO_min_DMI.pdb	A	B	5.867	682.893	2	2	0	30
DMI	4GGD		DMI_hydrogens\4GGD_min_DMI.pdb	A	B	6.21	579.778	0	0	0	0
DMI	4H3B		DMI_hydrogens\4H3B_min_DMI.pdb	A	B	4.163	1042.227	1	7	0	26
DMI	4H3Q		DMI_hydrogens\4H3Q_min_DMI.pdb	A	B	5.171	1008.588	1	4	0	8
DMI	4J2X		DMI_hydrogens\4J2X_min_DMI.pdb	A	B	4.771	754.734	0	2	0	105
DMI	4KMD		DMI_hydrogens\4KMD_min_DMI.pdb	A	B	4.367	1378.155	0	15	0	50
DMI	4NEE		DMI_hydrogens\4NEE_min_DMI.pdb	A	B	4.868	922.162	1	2	0	27
DMI	4YOC		DMI_hydrogens\4YOC_min_DMI.pdb	A	B	4.646	832.151	3	4	0	8
DMI	4ZI2		DMI_hydrogens\4ZI2_min_DMI.pdb	A	B	5.218	1247.161	1	0	0	41
DMI	5AZG		DMI_hydrogens\5AZG_min_DMI.pdb	A	B	4.624	948.745	0	4	0	82
DMI	5EOD		DMI_hydrogens\5EOD_min_DMI.pdb	A	B	5.288	818.935	1	2	0	45
DMI	5ETA		DMI_hydrogens\5ETA_min_DMI.pdb	A	B	4.574	1571.664	4	11	0	36
DMI	5F74		DMI_hydrogens\5F74_min_DMI.pdb	A	B	6.486	1510.531	2	9	0	25
DMI	5FJX		DMI_hydrogens\5FJX_min_DMI.pdb	A	B	6.479	823.818	0	5	0	70
DMI	5HKH		DMI_hydrogens\5HKH_min_DMI.pdb	A	B	4.635	885.802	1	3	0	107
DMI	5IGO		DMI_hydrogens\5IGO_min_DMI.pdb	A	B	4.392	1255.345	1	6	0	49
DMI	5MLW		DMI_hydrogens\5MLW_min_DMI.pdb	A	B	4.282	960.87	0	2	0	114
DMI	5VZU		DMI_hydrogens\5VZU_min_DMI.pdb	A	B	4.959	868.375	0	4	0	33
DMI	6FUZ		DMI_hydrogens\6FUZ_min_DMI.pdb	A	B	5.532	1081.201	1	10	0	2
DMI	6G84		DMI_hydrogens\6G84_min_DMI.pdb	A	B	5.521	1146.941	0	4	0	35
DMI	7DS2		DMI_hydrogens\7DS2_min_DMI.pdb	A	B	5.075	1506.106	2	8	0	51
DDI	2D74	PF00009_PF01873	DDI_hydrogens\PF00009_PF01873_2D74_AB.pdb	A	B	4.045	2834.256	3	9	0	86
DDI	1F34	PF00026_PF06394	DDI_hydrogens\PF00026_PF06394_1F34_AB.pdb	A	B	3.941	3065.591	0	13	0	75
DDI	1TDQ	PF00059_PF00041	DDI_hydrogens\PF00059_PF00041_1TDQ_BA.pdb	B	A	5.006	1832.306	2	9	0	41
DDI	1FLE	PF00089_PF00095	DDI_hydrogens\PF00089_PF00095_1FLE_EI.pdb	E	I	4.029	1782.179	1	17	0	68
DDI	6VQG	PF00137_PF07850	DDI_hydrogens\PF00137_PF07850_6VQG_ip.pdb	i	p	5.697	1663.542	1	4	0	78
DDI	3AXY	PF00244_PF01161	DDI_hydrogens\PF00244_PF01161_3AXY_JH.pdb	J	H	5.382	1296.311	2	7	0	44
DDI	5VYW	PF00289_PF02436	DDI_hydrogens\PF00289_PF02436_5VYW_AD.pdb	A	D	4.595	5611.132	18	25	0	88
DDI	2Y3A	PF00454_PF00017	DDI_hydrogens\PF00454_PF00017_2Y3A_AB.pdb	A	B	3.811	5911.162	5	10	0	179
DDI	3TX7	PF00514_PF00104	DDI_hydrogens\PF00514_PF00104_3TX7_AB.pdb	A	B	4.555	1644.616	1	5	0	44
DDI	1PP9	PF00675_PF02271	DDI_hydrogens\PF00675_PF02271_1PP9_BS.pdb	B	S	6.198	909.24	2	10	0	16
DDI	5F0L	PF00787_PF03643	DDI_hydrogens\PF00787_PF03643_5F0L_BC.pdb	B	C	4.126	2148.522	0	6	0	20
DDI	7CFT	PF00858_PF00087	DDI_hydrogens\PF00858_PF00087_7CFT_AD.pdb	A	D	6.425	1696.333	1	1	0	45
DDI	1L0V	PF00890_PF13085	DDI_hydrogens\PF00890_PF13085_1L0V_MN.pdb	M	N	4.327	5423.356	6	15	0	138
DDI	3VE1	PF01298_PF00405	DDI_hydrogens\PF01298_PF00405_3VE1_AB.pdb	A	B	4.136	2669.706	6	5	0	23
DDI	6Q2N	PF02351_PF17812	DDI_hydrogens\PF02351_PF17812_6Q2N_DF.pdb	D	F	4.674	1872.941	2	0	0	13
DDI	4GS7	PF02372_PF18707	DDI_hydrogens\PF02372_PF18707_4GS7_AB.pdb	A	B	5.441	954.148	1	11	0	9
DDI	1UL1	PF02747_PF00752	DDI_hydrogens\PF02747_PF00752_1UL1_XA.pdb	X	A	4.16	3540.322	9	15	0	128
DDI	1DEV	PF03166_PF11409	DDI_hydrogens\PF03166_PF11409_1DEV_AB.pdb	A	B	3.981	2613.105	0	9	0	210
DDI	4Y66	PF03962_PF07106	DDI_hydrogens\PF03962_PF07106_4Y66_EF.pdb	E	F	4.97	4729.982	0	7	0	166
DDI	6JWP	PF04670_PF15454	DDI_hydrogens\PF04670_PF15454_6JWP_GH.pdb	G	H	4.665	1614.038	0	3	0	76
DDI	6TT7	PF04718_PF05405	DDI_hydrogens\PF04718_PF05405_6TT7_SK.pdb	S	K	4.431	1882.952	1	2	0	78
DDI	2V92	PF04739_PF16579	DDI_hydrogens\PF04739_PF16579_2V92_BA.pdb	B	A	4.306	3229.001	1	19	0	209
DDI	1W1W	PF04824_PF02463	DDI_hydrogens\PF04824_PF02463_1W1W_FB.pdb	F	B	4.491	2140.173	1	5	0	148
DDI	5C3L	PF05064_PF13874	DDI_hydrogens\PF05064_PF13874_5C3L_CA.pdb	C	A	4.948	5688.907	7	1	0	184
DDI	6F40	PF05158_PF04801	DDI_hydrogens\PF05158_PF04801_6F40_MP.pdb	M	P	4.648	836.624	0	5	0	3
DDI	6ZR2	PF05676_PF05821	DDI_hydrogens\PF05676_PF05821_6ZR2_ol.pdb	o	l	4.301	2745.651	4	3	0	68
DDI	6C0F	PF05997_PF01778	DDI_hydrogens\PF05997_PF01778_6C0F_zD.pdb	z	D	5.44	835.115	3	2	0	0
DDI	2FYL	PF06400_PF00057	DDI_hydrogens\PF06400_PF00057_2FYL_AB.pdb	A	B	4.557	1863.841	9	15	0	8
DDI	5VJ1	PF06857_PF16957	DDI_hydrogens\PF06857_PF16957_5VJ1_AC.pdb	A	C	5.405	1674.517	3	5	0	45
DDI	7AAV	PF06991_PF08082	DDI_hydrogens\PF06991_PF08082_7AAV_KA.pdb	K	A	5.341	2127.392	0	2	0	55
DDI	6OMF	PF07417_PF00140	DDI_hydrogens\PF07417_PF00140_6OMF_FJ.pdb	F	J	4.96	1586.517	4	8	0	40
DDI	3ZKJ	PF07525_PF03931	DDI_hydrogens\PF07525_PF03931_3ZKJ_AB.pdb	A	B	4.962	1639.059	0	2	0	97
DDI	1OFH	PF07724_PF00227	DDI_hydrogens\PF07724_PF00227_1OFH_CH.pdb	C	H	5.503	413.424	1	0	0	0
DDI	4KHB	PF08644_PF03531	DDI_hydrogens\PF08644_PF03531_4KHB_HG.pdb	H	G	3.878	4123.428	4	32	0	232
DDI	5OOL	PF09809_PF06984	DDI_hydrogens\PF09809_PF06984_5OOL_9Y.pdb	9	Y	4.603	3464.926	2	7	0	120
DDI	6H9U	PF10208_PF00012	DDI_hydrogens\PF10208_PF00012_6H9U_BA.pdb	B	A	4.398	1103.978	2	20	0	26
DDI	5ANR	PF10477_PF00271	DDI_hydrogens\PF10477_PF00271_5ANR_CB.pdb	C	B	4.133	2098.225	0	8	0	114
DDI	6G90	PF11931_PF04037	DDI_hydrogens\PF11931_PF04037_6G90_TQ.pdb	T	Q	4.438	878.695	0	0	0	11
DDI	3T6G	PF12026_PF00617	DDI_hydrogens\PF12026_PF00617_3T6G_BA.pdb	B	A	5.317	2412.878	4	9	0	91
DDI	2KA6	PF12162_PF02135	DDI_hydrogens\PF12162_PF02135_2KA6_BA.pdb	B	A	5.376	3122.699	6	17	0	133
DDI	6MZF	PF12348_PF00091	DDI_hydrogens\PF12348_PF00091_6MZF_YZ.pdb	Y	Z	5.456	1144.207	1	1	0	10
DDI	3IXE	PF12796_PF00412	DDI_hydrogens\PF12796_PF00412_3IXE_AB.pdb	A	B	5.755	1937.814	2	32	0	51
DDI	5GQQ	PF13202_PF04832	DDI_hydrogens\PF13202_PF04832_5GQQ_BD.pdb	B	D	4.09	1911.684	2	12	0	108
DDI	3ZNI	PF14447_PF00179	DDI_hydrogens\PF14447_PF00179_3ZNI_AC.pdb	A	C	5.268	1288.881	0	10	0	85
DDI	3J7Y	PF14978_PF00327	DDI_hydrogens\PF14978_PF00327_3J7Y_oZ.pdb	o	Z	4.885	2488.556	0	8	0	70
DDI	6D6Q	PF15985_PF10175	DDI_hydrogens\PF15985_PF10175_6D6Q_GL.pdb	G	L	3.891	3659.16	1	12	0	167
DDI	3KZ1	PF17838_PF00071	DDI_hydrogens\PF17838_PF00071_3KZ1_BE.pdb	B	E	5.276	1249.398	2	10	0	60
DDI	2X19	PF18773_PF00071	DDI_hydrogens\PF18773_PF00071_2X19_BA.pdb	B	A	5.92	3100.381	9	11	0	41
